year;programa;subprograma;proyecto;actividad;grupo;subgrupo;renglon;departamento;municipio;fuenteag;ejecucioncuanti;ejecucioncuali
2016;05;05 00;05 00 000;05 00 000 003 000;0;1;11;1;101;10;0.999999472;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;1;12;1;101;10;1;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;1;13;1;101;10;1;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;1;14;1;101;10;0.999995164;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;1;15;1;101;10;0.999999645;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;2;22;1;101;10;1;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;2;25;1;101;10;-1;baja
2016;05;05 00;05 00 000;05 00 000 003 000;0;2;26;1;101;10;1;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;2;27;1;101;10;0.999998742;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;7;71;1;101;10;0.999997198;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;7;72;1;101;10;0.999998801;alta
2016;05;05 00;05 00 000;05 00 000 003 000;0;7;73;1;101;10;0.999932303;alta
2016;05;05 00;05 00 000;05 00 000 003 000;1;11;111;1;101;10;0.656859444;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;11;113;1;101;10;0.760320513;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;101;10;0.817512815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;102;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;103;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;104;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;105;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;106;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;107;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;108;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;109;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;110;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;111;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;112;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;113;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;114;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;115;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;116;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;1;117;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;201;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;202;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;203;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;204;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;205;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;206;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;207;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;2;208;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;301;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;302;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;303;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;304;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;305;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;307;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;308;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;309;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;310;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;312;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;313;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;314;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;315;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;3;316;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;401;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;402;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;403;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;404;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;405;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;406;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;407;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;408;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;409;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;410;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;411;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;412;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;413;10;0.814814815;baja
